year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,112.13,112.13,112.13
2016-01-01,97.8,85.88,109.89
2017-01-01,99.26,93.66,90.54
2018-01-01,98.51,107.77,94.12
2019-01-01,98.89,99.67,98.36
2020-01-01,98.7,93.69,103.25
2021-01-01,98.8,99.76,83.91
2022-01-01,98.75,101.83,87.49
2023-01-01,98.77,98.02,91.73
2024-01-01,98.76,97.75,96.62
2025-01-01,98.77,99.99,77.27
2026-01-01,98.76,99.7,80.85
2027-01-01,98.77,98.53,85.09
2028-01-01,98.76,98.98,89.98
2029-01-01,98.77,99.56,70.64
2030-01-01,98.77,99.21,74.22
