year,sucid_in_hundredk_sarimax,sucid_in_hundredk_AR,sucid_in_hundredk_fbprophet
2015-01-01,66.56,66.56,66.56
2016-01-01,66.55,61.81,49.0
2017-01-01,66.88,63.11,62.76
2018-01-01,66.88,65.19,59.87
2019-01-01,66.88,63.8,56.29
2020-01-01,66.88,60.8,52.02
2021-01-01,66.88,61.94,65.78
2022-01-01,66.88,63.19,62.89
2023-01-01,66.88,62.16,59.31
2024-01-01,66.88,60.28,55.04
2025-01-01,66.88,61.2,68.79
2026-01-01,66.88,61.93,65.9
2027-01-01,66.88,61.18,62.32
2028-01-01,66.88,60.01,58.05
2029-01-01,66.88,60.73,71.81
2030-01-01,66.88,61.14,68.92
